epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1548,1.18029,2.07932,1.45389,0.51126,0.29545,0.30452,0.13139,1.57616,2.73653,1.84697,0.000651163,0.000651163,0.000651163
2,62.8492,1.1886,1.66959,1.42166,0.31448,0.29545,0.20287,0.07943,1.80544,2.67118,2.11855,0.00129174,0.00129174,0.00129174
3,83.6684,1.18562,1.55611,1.43101,0.4245,0.34848,0.26255,0.10217,2.09834,3.18234,2.44748,0.00190591,0.00190591,0.00190591
4,105.703,1.18259,1.48836,1.43969,0.18514,0.14394,0.11328,0.04829,2.40422,4.80744,2.62615,0.0018812,0.0018812,0.0018812
5,125.805,1.18165,1.41098,1.40669,0.30669,0.4697,0.31321,0.1713,1.64597,2.9827,1.94989,0.0018416,0.0018416,0.0018416
6,147.126,1.12175,1.34422,1.3857,0.31256,0.31818,0.23049,0.09695,2.10466,3.45038,2.23949,0.001802,0.001802,0.001802
7,167.23,1.07778,1.285,1.36107,0.08242,0.22727,0.04568,0.01827,2.4508,5.28565,2.71977,0.0017624,0.0017624,0.0017624
8,188.904,1.06345,1.26239,1.35675,0.41369,0.44697,0.33512,0.14879,1.73795,2.36266,1.82642,0.0017228,0.0017228,0.0017228
9,209.069,1.04027,1.20625,1.32901,0.48261,0.47727,0.45023,0.24544,1.54446,1.95084,1.67183,0.0016832,0.0016832,0.0016832
10,229.508,1.04173,1.20456,1.33265,0.53628,0.5,0.51389,0.27661,1.53074,1.90569,1.67935,0.0016436,0.0016436,0.0016436
11,250.684,1.0436,1.15608,1.32583,0.54441,0.37121,0.39282,0.2333,1.5236,2.06411,1.61006,0.001604,0.001604,0.001604
12,270.248,1.04286,1.1915,1.34058,0.62729,0.49728,0.55317,0.28964,1.51428,1.70153,1.60017,0.0015644,0.0015644,0.0015644
13,292.074,0.99145,1.12257,1.29831,0.60027,0.4697,0.52394,0.31389,1.3939,1.78872,1.50233,0.0015248,0.0015248,0.0015248
14,312.113,0.97827,1.09002,1.28712,0.53145,0.4697,0.47265,0.27937,1.44197,1.83539,1.57957,0.0014852,0.0014852,0.0014852
15,333.774,0.98309,1.10047,1.28059,0.59023,0.45455,0.50408,0.30025,1.39587,1.80615,1.5103,0.0014456,0.0014456,0.0014456
16,354.467,0.94449,1.09023,1.27506,0.53491,0.5303,0.52471,0.30419,1.45802,1.73598,1.56043,0.001406,0.001406,0.001406
17,376.045,0.94619,1.07632,1.25996,0.49863,0.55755,0.48613,0.26504,1.48476,1.74539,1.59231,0.0013664,0.0013664,0.0013664
18,397.078,0.91228,1.02694,1.2428,0.60301,0.4603,0.5226,0.29698,1.48292,1.75894,1.58649,0.0013268,0.0013268,0.0013268
19,417.265,0.89856,1.00232,1.23038,0.63436,0.52575,0.57904,0.33949,1.44014,1.68009,1.5664,0.0012872,0.0012872,0.0012872
